COUNTERPARTY_ID,NAME,SECTOR,JURISDICTION,RISK_RATING,CONCENTRATION_GROUP,CREATED_AT
CP-00001,Agriculture Holdings Ltd 1,Agriculture - Allied,IN,B,,2026-06-30
CP-00002,Agriculture & Co 2,Agriculture - Allied,IN,B,,2026-06-30
CP-00003,Agriculture Enterprises 3,Agriculture - Allied,IN,BB,,2026-06-30
CP-00004,Agriculture Holdings Ltd 4,Agriculture - Allied,IN,B,,2026-06-30
CP-00005,Agriculture Enterprises 5,Agriculture - Allied,IN,BB,,2026-06-30
CP-00006,Agriculture Industries Ltd 6,Agriculture - Allied,IN,BBB,,2026-06-30
CP-00007,Agriculture Holdings Ltd 7,Agriculture - Allied,IN,BBB,,2026-06-30
CP-00008,Agriculture Enterprises 8,Agriculture - Allied,IN,B,,2026-06-30
CP-00009,Agriculture Pvt Ltd 9,Agriculture - Allied,IN,B,,2026-06-30
CP-00010,Agriculture Enterprises 10,Agriculture - Allied,IN,BB,,2026-06-30
CP-00011,Agriculture & Co 11,Agriculture - Allied,IN,BBB,,2026-06-30
CP-00012,Agriculture Industries Ltd 12,Agriculture - Allied,IN,BB,,2026-06-30
CP-00013,Agriculture Enterprises 13,Agriculture - Allied,IN,B,,2026-06-30
CP-00014,Agriculture Pvt Ltd 14,Agriculture - Allied,IN,BB,,2026-06-30
CP-00015,Agriculture & Co 15,Agriculture - Allied,IN,BB,,2026-06-30
CP-00016,Agriculture Produce Enterprises 1,Agriculture Produce - Trade,IN,BB,,2026-06-30
CP-00017,Agriculture Produce Corp 2,Agriculture Produce - Trade,IN,BBB,,2026-06-30
CP-00018,Agriculture Produce Enterprises 3,Agriculture Produce - Trade,IN,A,,2026-06-30
CP-00019,Agriculture Produce Holdings Ltd 4,Agriculture Produce - Trade,IN,BBB,,2026-06-30
CP-00020,Agriculture Produce Pvt Ltd 5,Agriculture Produce - Trade,IN,BBB,,2026-06-30
CP-00021,Agriculture Produce Enterprises 6,Agriculture Produce - Trade,IN,A,,2026-06-30
CP-00022,Agriculture Produce Pvt Ltd 7,Agriculture Produce - Trade,IN,BB,,2026-06-30
CP-00023,Agriculture Produce Enterprises 8,Agriculture Produce - Trade,IN,BBB,,2026-06-30
CP-00024,Agriculture Produce Holdings Ltd 9,Agriculture Produce - Trade,IN,BBB,,2026-06-30
CP-00025,Agriculture Produce Enterprises 10,Agriculture Produce - Trade,IN,A,,2026-06-30
CP-00026,Agriculture Produce Holdings Ltd 11,Agriculture Produce - Trade,IN,A,,2026-06-30
CP-00027,Agriculture Produce Enterprises 12,Agriculture Produce - Trade,IN,BBB,,2026-06-30
CP-00028,Agriculture Produce & Co 13,Agriculture Produce - Trade,IN,A,,2026-06-30
CP-00029,Agriculture Produce Enterprises 14,Agriculture Produce - Trade,IN,A,,2026-06-30
CP-00030,Agriculture Production Industries Ltd 1,Agriculture Production - Food,IN,B,,2026-06-30
CP-00031,Agriculture Production Holdings Ltd 2,Agriculture Production - Food,IN,B,,2026-06-30
CP-00032,Agriculture Production & Co 3,Agriculture Production - Food,IN,BB,,2026-06-30
CP-00033,Agriculture Production Industries Ltd 4,Agriculture Production - Food,IN,B,,2026-06-30
CP-00034,Agriculture Production Pvt Ltd 5,Agriculture Production - Food,IN,BBB,,2026-06-30
CP-00035,Agriculture Production Corp 6,Agriculture Production - Food,IN,B,LARGE_EXPOSURE_TOP5PCT,2026-06-30
CP-00036,Agriculture Production Holdings Ltd 7,Agriculture Production - Food,IN,B,,2026-06-30
CP-00037,Agriculture Production Holdings Ltd 8,Agriculture Production - Food,IN,B,,2026-06-30
CP-00038,Agriculture Production Industries Ltd 9,Agriculture Production - Food,IN,BB,,2026-06-30
CP-00039,Agriculture Production Industries Ltd 10,Agriculture Production - Food,IN,B,,2026-06-30
CP-00040,Agriculture Production Pvt Ltd 11,Agriculture Production - Food,IN,BBB,,2026-06-30
CP-00041,Agriculture Production Pvt Ltd 12,Agriculture Production - Food,IN,BB,,2026-06-30
CP-00042,Agriculture Production Corp 13,Agriculture Production - Food,IN,BB,,2026-06-30
CP-00043,Agriculture Production Corp 14,Agriculture Production - Food,IN,B,,2026-06-30
CP-00044,Agriculture Production Enterprises 1,Agriculture Production - Non food,IN,BBB,,2026-06-30
CP-00045,Agriculture Production Corp 2,Agriculture Production - Non food,IN,B,,2026-06-30
CP-00046,Agriculture Production Corp 3,Agriculture Production - Non food,IN,B,,2026-06-30
CP-00047,Agriculture Production Industries Ltd 4,Agriculture Production - Non food,IN,BB,,2026-06-30
CP-00048,Agriculture Production Holdings Ltd 5,Agriculture Production - Non food,IN,BBB,,2026-06-30
CP-00049,Agriculture Production Corp 6,Agriculture Production - Non food,IN,B,,2026-06-30
CP-00050,Agriculture Production Industries Ltd 7,Agriculture Production - Non food,IN,BB,,2026-06-30
CP-00051,Agriculture Production Holdings Ltd 8,Agriculture Production - Non food,IN,B,,2026-06-30
CP-00052,Agriculture Production Holdings Ltd 9,Agriculture Production - Non food,IN,B,,2026-06-30
CP-00053,Agriculture Production Enterprises 10,Agriculture Production - Non food,IN,BB,,2026-06-30
CP-00054,Agriculture Production Pvt Ltd 11,Agriculture Production - Non food,IN,B,,2026-06-30
CP-00055,Agriculture Production Corp 12,Agriculture Production - Non food,IN,BB,,2026-06-30
CP-00056,Agriculture Production Corp 13,Agriculture Production - Non food,IN,BB,,2026-06-30
CP-00057,Agriculture Production Pvt Ltd 14,Agriculture Production - Non food,IN,B,,2026-06-30
CP-00058,Animal Husbandry Corp 1,Animal Husbandry,IN,BBB,,2026-06-30
CP-00059,Animal Husbandry Corp 2,Animal Husbandry,IN,BBB,,2026-06-30
CP-00060,Animal Husbandry Corp 3,Animal Husbandry,IN,B,,2026-06-30
CP-00061,Animal Husbandry Holdings Ltd 4,Animal Husbandry,IN,B,,2026-06-30
CP-00062,Animal Husbandry Enterprises 5,Animal Husbandry,IN,B,,2026-06-30
CP-00063,Animal Husbandry Industries Ltd 6,Animal Husbandry,IN,BBB,,2026-06-30
CP-00064,Animal Husbandry Pvt Ltd 7,Animal Husbandry,IN,BB,,2026-06-30
CP-00065,Animal Husbandry Pvt Ltd 8,Animal Husbandry,IN,BB,,2026-06-30
CP-00066,Animal Husbandry Enterprises 9,Animal Husbandry,IN,B,,2026-06-30
CP-00067,Animal Husbandry Holdings Ltd 10,Animal Husbandry,IN,BBB,,2026-06-30
CP-00068,Animal Husbandry Corp 11,Animal Husbandry,IN,BB,,2026-06-30
CP-00069,Animal Husbandry Holdings Ltd 12,Animal Husbandry,IN,BB,,2026-06-30
CP-00070,Animal Husbandry Pvt Ltd 13,Animal Husbandry,IN,BB,,2026-06-30
CP-00071,Automobile Holdings Ltd 1,Automobile & Auto Ancillary,IN,A,,2026-06-30
CP-00072,Automobile Holdings Ltd 2,Automobile & Auto Ancillary,IN,BBB,,2026-06-30
CP-00073,Automobile Pvt Ltd 3,Automobile & Auto Ancillary,IN,A,,2026-06-30
CP-00074,Automobile Industries Ltd 4,Automobile & Auto Ancillary,IN,AA,,2026-06-30
CP-00075,Automobile & Co 5,Automobile & Auto Ancillary,IN,AA,,2026-06-30
CP-00076,Automobile Corp 6,Automobile & Auto Ancillary,IN,A,,2026-06-30
CP-00077,Automobile Pvt Ltd 7,Automobile & Auto Ancillary,IN,A,,2026-06-30
CP-00078,Automobile Pvt Ltd 8,Automobile & Auto Ancillary,IN,BBB,,2026-06-30
CP-00079,Automobile Corp 9,Automobile & Auto Ancillary,IN,AA,LARGE_EXPOSURE_TOP5PCT,2026-06-30
CP-00080,Automobile Corp 10,Automobile & Auto Ancillary,IN,A,,2026-06-30
CP-00081,Automobile Industries Ltd 11,Automobile & Auto Ancillary,IN,AA,,2026-06-30
CP-00082,Automobile Industries Ltd 12,Automobile & Auto Ancillary,IN,A,,2026-06-30
CP-00083,Automobile Pvt Ltd 13,Automobile & Auto Ancillary,IN,BBB,,2026-06-30
CP-00084,Automobile Corp 14,Automobile & Auto Ancillary,IN,BBB,,2026-06-30
CP-00085,Automobile Pvt Ltd 15,Automobile & Auto Ancillary,IN,A,,2026-06-30
CP-00086,Banks Corp 1,Banks,IN,AAA,,2026-06-30
CP-00087,Banks & Co 2,Banks,IN,AAA,,2026-06-30
CP-00088,Banks Industries Ltd 3,Banks,IN,A,,2026-06-30
CP-00089,Banks Pvt Ltd 4,Banks,IN,AA,,2026-06-30
CP-00090,Banks Holdings Ltd 5,Banks,IN,AAA,,2026-06-30
CP-00091,Banks Industries Ltd 6,Banks,IN,AAA,,2026-06-30
CP-00092,Banks Corp 7,Banks,IN,AA,LARGE_EXPOSURE_TOP5PCT,2026-06-30
CP-00093,Banks Holdings Ltd 8,Banks,IN,A,,2026-06-30
CP-00094,Banks Pvt Ltd 9,Banks,IN,AA,,2026-06-30
CP-00095,Banks Pvt Ltd 10,Banks,IN,AAA,,2026-06-30
CP-00096,Banks Pvt Ltd 11,Banks,IN,A,,2026-06-30
CP-00097,Banks Pvt Ltd 12,Banks,IN,AAA,,2026-06-30
CP-00098,Banks Pvt Ltd 13,Banks,IN,AAA,,2026-06-30
CP-00099,Banks & Co 14,Banks,IN,AA,,2026-06-30
CP-00100,Banks Corp 15,Banks,IN,AAA,,2026-06-30
CP-00101,Business Services Industries Ltd 1,Business Services,IN,BBB,,2026-06-30
CP-00102,Business Services Enterprises 2,Business Services,IN,A,,2026-06-30
CP-00103,Business Services Enterprises 3,Business Services,IN,A,,2026-06-30
CP-00104,Business Services Enterprises 4,Business Services,IN,BBB,,2026-06-30
CP-00105,Business Services Pvt Ltd 5,Business Services,IN,BBB,,2026-06-30
CP-00106,Business Services Industries Ltd 6,Business Services,IN,A,,2026-06-30
CP-00107,Business Services Pvt Ltd 7,Business Services,IN,A,,2026-06-30
CP-00108,Business Services Corp 8,Business Services,IN,A,,2026-06-30
CP-00109,Business Services Enterprises 9,Business Services,IN,AA,,2026-06-30
CP-00110,Business Services Corp 10,Business Services,IN,AA,,2026-06-30
CP-00111,Business Services Corp 11,Business Services,IN,A,,2026-06-30
CP-00112,Business Services & Co 12,Business Services,IN,A,,2026-06-30
CP-00113,Business Services Corp 13,Business Services,IN,AA,,2026-06-30
CP-00114,Business Services Corp 14,Business Services,IN,BBB,,2026-06-30
CP-00115,Business Services Corp 15,Business Services,IN,AA,,2026-06-30
CP-00116,Capital Market Intermedi Corp 1,Capital Market Intermediaries,IN,BBB,,2026-06-30
CP-00117,Capital Market Intermedi Industries Ltd 2,Capital Market Intermediaries,IN,BB,,2026-06-30
CP-00118,Capital Market Intermedi Industries Ltd 3,Capital Market Intermediaries,IN,BBB,,2026-06-30
CP-00119,Capital Market Intermedi Industries Ltd 4,Capital Market Intermediaries,IN,BBB,,2026-06-30
CP-00120,Capital Market Intermedi Enterprises 5,Capital Market Intermediaries,IN,BBB,,2026-06-30
CP-00121,Capital Market Intermedi Holdings Ltd 6,Capital Market Intermediaries,IN,BB,,2026-06-30
CP-00122,Capital Market Intermedi Corp 7,Capital Market Intermediaries,IN,BB,,2026-06-30
CP-00123,Capital Market Intermedi & Co 8,Capital Market Intermediaries,IN,BB,,2026-06-30
CP-00124,Capital Market Intermedi Enterprises 9,Capital Market Intermediaries,IN,BBB,,2026-06-30
CP-00125,Capital Market Intermedi Pvt Ltd 10,Capital Market Intermediaries,IN,A,,2026-06-30
CP-00126,Capital Market Intermedi Pvt Ltd 11,Capital Market Intermediaries,IN,BB,,2026-06-30
CP-00127,Capital Market Intermedi Industries Ltd 12,Capital Market Intermediaries,IN,A,,2026-06-30
CP-00128,Capital Market Intermedi Industries Ltd 13,Capital Market Intermediaries,IN,A,,2026-06-30
CP-00129,Capital Market Intermedi Holdings Ltd 14,Capital Market Intermediaries,IN,BB,,2026-06-30
CP-00130,Cement Holdings Ltd 1,Cement & Products,IN,A,,2026-06-30
CP-00131,Cement Corp 2,Cement & Products,IN,AA,,2026-06-30
CP-00132,Cement Enterprises 3,Cement & Products,IN,AA,,2026-06-30
CP-00133,Cement Pvt Ltd 4,Cement & Products,IN,A,,2026-06-30
CP-00134,Cement Pvt Ltd 5,Cement & Products,IN,AAA,,2026-06-30
CP-00135,Cement Industries Ltd 6,Cement & Products,IN,AAA,,2026-06-30
CP-00136,Cement Pvt Ltd 7,Cement & Products,IN,AA,,2026-06-30
CP-00137,Cement Corp 8,Cement & Products,IN,AA,,2026-06-30
CP-00138,Cement & Co 9,Cement & Products,IN,AA,,2026-06-30
CP-00139,Cement Holdings Ltd 10,Cement & Products,IN,AAA,,2026-06-30
CP-00140,Cement Enterprises 11,Cement & Products,IN,AA,,2026-06-30
CP-00141,Cement Holdings Ltd 12,Cement & Products,IN,AAA,,2026-06-30
CP-00142,Cement Holdings Ltd 13,Cement & Products,IN,AA,,2026-06-30
CP-00143,Chemical and Products Enterprises 1,Chemical and Products,IN,A,,2026-06-30
CP-00144,Chemical and Products Industries Ltd 2,Chemical and Products,IN,BBB,,2026-06-30
CP-00145,Chemical and Products Corp 3,Chemical and Products,IN,A,,2026-06-30
CP-00146,Chemical and Products Pvt Ltd 4,Chemical and Products,IN,A,,2026-06-30
CP-00147,Chemical and Products Industries Ltd 5,Chemical and Products,IN,A,,2026-06-30
CP-00148,Chemical and Products Enterprises 6,Chemical and Products,IN,AA,,2026-06-30
CP-00149,Chemical and Products Holdings Ltd 7,Chemical and Products,IN,A,,2026-06-30
CP-00150,Chemical and Products Corp 8,Chemical and Products,IN,BBB,,2026-06-30
CP-00151,Chemical and Products Holdings Ltd 9,Chemical and Products,IN,A,,2026-06-30
CP-00152,Chemical and Products Enterprises 10,Chemical and Products,IN,BBB,,2026-06-30
CP-00153,Chemical and Products Enterprises 11,Chemical and Products,IN,A,,2026-06-30
CP-00154,Chemical and Products Enterprises 12,Chemical and Products,IN,A,,2026-06-30
CP-00155,Chemical and Products Holdings Ltd 13,Chemical and Products,IN,BBB,,2026-06-30
CP-00156,Chemical and Products Holdings Ltd 14,Chemical and Products,IN,AA,,2026-06-30
CP-00157,Coal Enterprises 1,Coal & Petroleum Products,IN,AAA,,2026-06-30
CP-00158,Coal Enterprises 2,Coal & Petroleum Products,IN,AAA,,2026-06-30
