ENTRY_ID,ACCOUNT_CODE,AMOUNT,CURRENCY,POSTING_DATE,COUNTERPARTY_ID,POSITION_ID,INJECTED_CASE_ID
GL-000001,ADVANCES_FUND,17600622906.56,INR,2025-06-23,CP-00007,POS-000020,
GL-000002,ADVANCES_FUND,1106232987.38,INR,2025-11-22,CP-00008,POS-000023,
GL-000003,ADVANCES_FUND,5833959060.0,INR,2024-11-28,CP-00003,POS-000010,
GL-000004,ADVANCES_FUND,985925252.42,INR,2025-02-24,CP-00011,POS-000035,
GL-000005,ADVANCES_FUND,946363036.93,INR,2025-07-23,CP-00014,POS-000043,
GL-000006,ADVANCES_FUND,22241168071.53,INR,2024-01-24,CP-00001,POS-000001,
GL-000007,ADVANCES_FUND,2672904924.27,INR,2023-10-09,CP-00005,POS-000015,
GL-000008,ADVANCES_FUND,1639124469.57,INR,2025-05-09,CP-00010,POS-000031,
GL-000009,ADVANCES_FUND,27307393193.42,INR,2024-06-15,CP-00012,POS-000038,
GL-000010,ADVANCES_FUND,52477316165.94,INR,2023-07-19,CP-00003,POS-000009,
GL-000011,ADVANCES_FUND,30402417904.59,INR,2026-06-17,CP-00015,POS-000047,
GL-000012,ADVANCES_FUND,7470783882.54,INR,2025-05-27,CP-00014,POS-000044,
GL-000013,ADVANCES_FUND,1412149987.16,INR,2024-04-14,CP-00011,POS-000036,
GL-000014,ADVANCES_FUND,38342018644.65,INR,2025-01-02,CP-00003,POS-000008,
GL-000015,ADVANCES_FUND,35238301125.55,INR,2024-02-14,CP-00006,POS-000017,
GL-000016,ADVANCES_FUND,1379259762.93,INR,2025-01-27,CP-00015,POS-000046,
GL-000017,ADVANCES_FUND,20811508258.53,INR,2026-04-21,CP-00010,POS-000030,
GL-000018,ADVANCES_FUND,249736430.87,INR,2025-03-13,CP-00009,POS-000027,
GL-000019,ADVANCES_FUND,6236430667.91,INR,2025-04-14,CP-00004,POS-000013,
GL-000020,ADVANCES_FUND,564340902.63,INR,2023-12-18,CP-00015,POS-000048,
GL-000021,ADVANCES_FUND,5932802838.97,INR,2026-01-20,CP-00006,POS-000018,
GL-000022,ADVANCES_FUND,10724366108.11,INR,2026-01-11,CP-00002,POS-000006,
GL-000023,ADVANCES_FUND,2300116793.42,INR,2026-01-27,CP-00009,POS-000026,
GL-000024,ADVANCES_FUND,54318545336.01,INR,2024-10-17,CP-00013,POS-000040,
GL-000025,ADVANCES_FUND,13054044595.38,INR,2023-07-06,CP-00001,POS-000003,
GL-000026,ADVANCES_FUND,171942632283.22,INR,2024-08-22,CP-00008,POS-000024,
GL-000027,ADVANCES_FUND,82109231410.76,INR,2024-01-19,CP-00002,POS-000005,
GL-000028,ADVANCES_FUND,62922473406.94,INR,2023-12-11,CP-00001,POS-000002,
GL-000029,ADVANCES_FUND,3446229591.81,INR,2024-09-11,CP-00010,POS-000032,
GL-000030,ADVANCES_FUND,13625639275.12,INR,2026-05-24,CP-00028,POS-000090,
GL-000031,ADVANCES_FUND,6093254599.56,INR,2026-06-02,CP-00018,POS-000057,
