POSITION_ID,INSTRUMENT_TYPE,NOTIONAL,CURRENCY,EXPOSURE_CLASS,COUNTERPARTY_ID,AS_OF_DATE
POS-000001,Term Loan,22241168071.53,INR,BELOW_100,CP-00001,2026-06-30
POS-000002,Term Loan,62922473406.94,INR,BELOW_100,CP-00001,2026-06-30
POS-000003,Term Loan,13054044595.38,INR,AT_100,CP-00001,2026-06-30
POS-000004,Bank Guarantee,109086701.72,INR,AT_100,CP-00001,2026-06-30
POS-000005,Investment - Debenture/Bond,82109231410.76,INR,ABOVE_100,CP-00002,2026-06-30
POS-000006,Term Loan,10724366108.11,INR,BELOW_100,CP-00002,2026-06-30
POS-000007,Derivative - Interest Rate Swap,78008190.51,INR,ABOVE_100,CP-00002,2026-06-30
POS-000008,Cash Credit,38342018644.65,INR,AT_100,CP-00003,2026-06-30
POS-000009,Cash Credit,52477316165.94,INR,BELOW_100,CP-00003,2026-06-30
POS-000010,Investment - Debenture/Bond,5833959060.0,INR,AT_100,CP-00003,2026-06-30
POS-000011,Derivative - FX Forward,155568424.46,INR,BELOW_100,CP-00003,2026-06-30
POS-000012,Bank Guarantee,40447434.32,INR,BELOW_100,CP-00003,2026-06-30
POS-000013,Investment - Debenture/Bond,6236430667.91,INR,AT_100,CP-00004,2026-06-30
POS-000014,Bank Guarantee,603310190.25,INR,AT_100,CP-00004,2026-06-30
POS-000015,Term Loan,2672904924.27,INR,AT_100,CP-00005,2026-06-30
POS-000016,Derivative - Interest Rate Swap,253428062.68,INR,BELOW_100,CP-00005,2026-06-30
POS-000017,Investment - Debenture/Bond,35238301125.55,INR,AT_100,CP-00006,2026-06-30
POS-000018,Investment - Debenture/Bond,5932802838.97,INR,BELOW_100,CP-00006,2026-06-30
POS-000019,Derivative - FX Forward,930245593.33,INR,AT_100,CP-00006,2026-06-30
POS-000020,Term Loan,39363722906.56,INR,BELOW_100,CP-00007,2026-06-30
POS-000021,Letter of Credit,26008248.26,INR,BELOW_100,CP-00007,2026-06-30
POS-000022,Letter of Credit,119527785.48,INR,BELOW_100,CP-00007,2026-06-30
POS-000023,Term Loan,1106232987.38,INR,BELOW_100,CP-00008,2026-06-30
POS-000024,Term Loan,171942632283.22,INR,BELOW_100,CP-00008,2026-06-30
POS-000025,Bank Guarantee,1695636152.61,INR,BELOW_100,CP-00008,2026-06-30
POS-000026,Term Loan,2300116793.42,INR,ABOVE_100,CP-00009,2026-06-30
POS-000027,Term Loan,249736430.87,INR,BELOW_100,CP-00009,2026-06-30
POS-000028,Letter of Credit,286388548.73,INR,BELOW_100,CP-00009,2026-06-30
POS-000029,Derivative - FX Forward,622533161.21,INR,BELOW_100,CP-00009,2026-06-30
POS-000030,Term Loan,20811508258.53,INR,AT_100,CP-00010,2026-06-30
POS-000031,Term Loan,1639124469.57,INR,ABOVE_100,CP-00010,2026-06-30
POS-000032,Term Loan,3446229591.81,INR,BELOW_100,CP-00010,2026-06-30
POS-000033,Bank Guarantee,410133048.92,INR,BELOW_100,CP-00010,2026-06-30
POS-000034,Bank Guarantee,3108224.92,INR,BELOW_100,CP-00010,2026-06-30
POS-000035,Term Loan,985925252.42,INR,BELOW_100,CP-00011,2026-06-30
POS-000036,Term Loan,1412149987.16,INR,AT_100,CP-00011,2026-06-30
